"country","ReligionByCountry_TotalReligious_2020","religionByCountry_christians_2020","religionByCountry_muslims_2020","religionByCountry_hindus_2020","religionByCountry_buddhists_2020","religionByCountry_folkReligions_2020","religionByCountry_jews_2020","religionByCountry_other_2020","religionByCountry_unaffiliated_2020","total","religionByCountry_christians","religionByCountry_muslims","religionByCountry_hindus","religionByCountry_buddhists","religionByCountry_folkReligions","religionByCountry_jews","religionByCountry_other","religionByCountry_unaffiliated"
"India",1386130000,33800000,213340000,1093780000,10140000,6540000,10000,28520000,900000,1223750000,31130000,176200000,973750000,9250000,5850000,10000,27560000,870000
"China",669335000,72410000,28010000,30000,254700000,304620000,5000,9560000,720100000,640615000,68410000,24690000,20000,244110000,294300000,5000,9080000,700680000
"United States",,,,,,,,,,259410000,243060000,2770000,1790000,3570000,630000,5690000,1900000,50980000
"Indonesia",263515000,26930000,229620000,4050000,1800000,750000,5000,360000,240000,239645000,23660000,209120000,4050000,1720000,750000,5000,340000,240000
"Pakistan",207835000,3260000,200490000,3990000,20000,40000,5000,30000,30000,173565000,2750000,167410000,3330000,20000,30000,5000,20000,20000
"Nigeria",203920000,96080000,104650000,5000,20000,3050000,5000,110000,790000,157750000,78050000,77300000,5000,10000,2290000,5000,90000,680000
"Brazil",192815000,185430000,40000,5000,250000,6680000,110000,300000,17620000,179545000,173300000,40000,5000,250000,5540000,110000,300000,15410000
"Bangladesh",168605000,520000,153010000,13790000,1040000,120000,5000,120000,5000,148685000,450000,134430000,12680000,920000,100000,5000,100000,5000
"Russia",118580000,101900000,15940000,60000,170000,300000,200000,10000,21190000,119785000,104750000,14290000,30000,170000,310000,230000,5000,23180000
"Ethiopia",101045000,62610000,36290000,5000,5000,2120000,5000,10000,60000,82900000,52070000,28680000,5000,5000,2130000,5000,5000,50000
"Mexico",118760000,118570000,5000,5000,10000,70000,80000,20000,7240000,108085000,107910000,5000,5000,5000,70000,70000,20000,5330000
"Japan",49885000,2190000,220000,40000,41380000,500000,5000,5550000,74780000,54425000,2030000,200000,30000,45820000,450000,5000,5890000,72120000
"Egypt",94885000,4440000,90420000,5000,5000,5000,5000,5000,5000,81135000,4120000,76990000,5000,5000,5000,5000,5000,5000
"Philippines",110670000,102320000,6330000,5000,100000,1750000,5000,160000,110000,93170000,86370000,5150000,5000,80000,1430000,5000,130000,90000
"DR Congo",83610000,81520000,1310000,40000,5000,620000,5000,110000,1450000,64810000,63210000,970000,30000,5000,490000,5000,100000,1170000
"Vietnam",67570000,8070000,180000,5000,15560000,43360000,5000,390000,28760000,61820000,7170000,160000,5000,14380000,39750000,5000,350000,26040000
"Iran",81155000,100000,80880000,20000,5000,5000,5000,140000,100000,73865000,110000,73570000,20000,5000,5000,5000,150000,110000
"Turkey",79745000,380000,79090000,5000,40000,30000,30000,170000,960000,71885000,320000,71330000,5000,40000,20000,20000,150000,860000
"Germany",59390000,53190000,5530000,80000,230000,40000,220000,100000,21150000,61960000,56540000,4760000,80000,210000,40000,230000,100000,20350000
"Thailand",71210000,650000,4290000,80000,66120000,60000,5000,5000,200000,68930000,600000,3770000,70000,64420000,60000,5000,5000,190000
"United Kingdom",44240000,38020000,3950000,1030000,380000,90000,270000,500000,20070000,44830000,39890000,2960000,890000,280000,60000,290000,460000,17220000
"Tanzania",60440000,38740000,20950000,50000,5000,670000,5000,20000,1000000,44200000,27540000,15770000,50000,5000,800000,5000,30000,650000
